"","Month","Hours watched (mins)","Average viewers","Peak viewers","Average channels","Peak channels","Hours streamed (mins)","Games streamed","Active affiliates","Active partners"
"1","October 2023","109210969200","2449774","4597990","91932","137208","4098368100","44583","948204","37316"
"2","September 2023","101428807380","2351154","4593138","96346","141151","4156374240","42640","950172","37007"
"3","August 2023","107237939460","2405516","4106733","94839","134552","4227950460","44060","952804","36417"
"4","July 2023","109575598140","2457954","6242790","93179","128248","4153959960","44571","959539","36473"
"5","June 2023","105342969420","2441886","4633797","92217","132569","3978242280","43104","966037","37084"
"6","May 2023","108754143720","2439527","4354877","90764","133783","4046292060","43553","969749","37019"
"7","April 2023","105461260980","2444628","4548556","95753","145511","4130813220","44095","996125","37066"
"8","March 2023","107430453600","2409835","5314247","93136","154987","4152009300","43944","1022449","37145"
"9","February 2023","102721547880","2551454","5364876","96466","150685","3883745820","42440","1010574","36449"
"10","January 2023","112017747720","2512735","5593050","93349","145497","4161532680","43611","1031468","36125"
"11","December 2022","100445528280","2253152","3866814","84728","174969","3777184980","41548","986866","36058"
"12","November 2022","101655768840","2356415","5362892","88195","137302","3804736680","41058","985584","36388"
"13","October 2022","112999240380","2534751","4610799","90557","134535","4037046960","42164","1005404","36659"
"14","September 2022","109027176720","2527287","4678056","90376","136352","3898852020","41863","998196","36371"
"15","August 2022","117191110500","2628782","4839718","93768","138306","4180215480","42610","1008739","35839"
"16","July 2022","113837765520","2553561","4500502","94546","133741","4214904240","43566","1049172","36103"
"17","June 2022","110090373480","2551932","6707070","90773","143573","3915966660","42096","1044987","36399"
"18","May 2022","113644504500","2549226","5235525","88227","131999","3933191820","42653","1060079","36818"
"19","April 2022","112187657280","2600548","5033040","94164","140048","4062253740","42107","1091849","37307"
"20","March 2022","116073008220","2603701","4815581","97461","144086","4344850800","41071","1127793","37741"
"21","February 2022","119008627800","2956001","5455266","103548","145473","4168873980","40713","1163446","38185"
"22","January 2022","129746817660","2910426","5674002","102254","142590","4558511940","41348","1209022","38348"
